,% Observed
699,69.3
700,68.3
701,69.2
702,69.1
703,69.1
704,69.2
705,69.2
706,69.2
707,69.2
708,69.3
709,69.2
710,69.2
711,69.2
712,69.2
713,69.2
714,69.2
715,69.2
716,69.1
717,69.1
718,69.1
719,69.1
720,67.7
721,69.8
722,69.8
723,69.8
724,69.8
725,69.8
726,69.7
727,69.7
728,69.7
729,69.6
730,69.6
731,69.5
732,69.4
733,69.5
734,69.4
735,69.4
736,69.3
737,63.3
738,65.1
739,69.5
740,69.5
741,69.5
742,69.5
743,69.7
744,67.5
745,69.5
746,69.6
747,69.4
748,69.2
749,69.1
750,68.9
751,69.1
752,69.2
753,69.3
754,69.3
755,69.3
756,69.2
757,69.0
758,68.9
759,69.0
760,69.1
761,69.2
762,69.2
763,69.2
764,69.2
765,69.2
766,69.3
767,69.3
768,67.6
769,69.6
770,69.6
771,69.5
772,69.2
773,69.1
774,69.0
775,68.8
776,68.8
777,69.0
778,69.1
779,69.1
780,69.1
781,69.2
782,69.2
783,69.1
784,69.2
785,69.3
786,69.3
787,69.3
788,69.1
789,69.3
790,69.3
791,69.4
792,68.3
793,68.6
794,69.3
795,69.2
796,67.1
797,68.9
798,68.8
799,68.9
800,68.9
801,69.0
802,69.0
803,69.0
804,68.9
805,68.9
806,68.8
807,68.8
808,68.8
809,68.8
810,68.9
811,68.9
812,68.9
813,69.0
814,68.9
815,69.0
816,68.4
817,69.3
818,69.3
819,68.8
820,68.8
821,68.7
822,68.7
823,68.8
824,68.9
825,68.5
826,68.4
827,68.4
828,68.8
829,68.4
830,68.7
831,68.7
832,68.7
833,68.7
834,68.7
835,68.7
836,68.7
837,68.8
838,68.8
839,68.9
840,69.4
841,69.5
842,69.5
843,69.4
844,69.3
845,69.1
846,69.1
847,67.9
848,66.7
849,66.7
850,66.7
851,66.6
852,66.6
853,68.3
854,69.1
855,69.1
856,69.1
857,69.1
858,69.2
859,68.9
860,68.8
861,68.9
862,69.0
863,69.0
864,66.6
865,66.7
866,66.8
867,66.8
868,66.6
869,66.6
870,66.5
871,66.5
872,66.7
873,66.7
874,66.6
875,66.5
876,66.4
877,66.4
878,66.3
879,66.4
880,66.5
881,66.5
882,66.3
883,66.2
884,66.5
885,66.5
886,66.3
887,66.2
888,69.0
889,68.9
890,69.0
891,68.7
892,69.1
893,69.0
894,69.0
895,68.9
896,69.0
897,69.0
898,69.0
899,68.9
900,68.9
901,68.9
902,68.9
903,68.9
904,68.8
905,68.8
906,68.9
907,68.8
908,68.9
909,69.0
910,69.1
911,69.1
912,68.9
913,69.0
914,69.0
915,68.9
916,68.7
917,68.6
918,68.5
919,68.6
920,68.7
921,68.6
922,68.8
923,68.8
924,68.7
925,68.7
926,68.8
927,68.8
928,68.8
929,68.7
930,68.2
931,68.1
932,68.1
933,68.4
934,68.9
935,69.0
936,67.9
937,69.1
938,69.3
939,69.2
940,69.1
941,69.0
942,68.9
943,69.0
944,68.9
945,68.8
946,68.8
947,68.8
948,68.7
949,68.7
950,68.6
951,68.8
952,68.9
953,69.1
954,69.0
955,69.0
956,68.9
957,69.0
958,69.0
959,69.1
960,69.4
961,69.4
962,69.3
963,69.2
964,69.1
965,69.1
966,69.0
967,69.1
968,69.2
969,69.1
970,69.1
971,69.1
972,69.0
973,68.8
974,68.9
975,69.0
976,69.1
977,68.4
978,69.0
979,68.9
980,68.9
981,69.0
982,69.2
983,69.2
984,69.4
985,69.5
986,69.5
987,69.4
988,69.2
989,69.0
990,69.0
991,69.2
992,69.3
993,69.1
994,69.1
995,69.1
996,69.2
997,66.9
998,65.5
999,67.1
1000,67.2
1001,67.0
1002,66.3
1003,67.3
1004,67.2
1005,67.3
1006,66.7
1007,67.2
1008,67.4
1009,67.3
1010,66.7
1011,67.2
1012,67.1
1013,67.0
1014,66.4
1015,67.1
1016,67.2
1017,67.3
1018,66.7
1019,67.2
1020,67.3
1021,67.2
1022,66.1
1023,67.0
1024,67.2
1025,67.3
1026,67.3
1027,66.7
1028,67.2
1029,68.8
1030,68.8
1031,68.9
1032,69.6
1033,69.6
1034,69.6
1035,69.6
1036,69.5
1037,69.5
1038,69.4
1039,69.4
1040,69.5
1041,69.5
1042,69.6
1043,69.5
1044,69.5
1045,69.5
1046,69.4
1047,69.4
1048,69.4
1049,69.5
1050,65.2
1051,63.3
1052,69.4
1053,69.4
1054,69.4
1055,69.4
1056,69.8
1057,69.8
1058,69.7
1059,69.7
1060,69.6
1061,69.6
1062,69.6
1063,69.7
1064,69.6
1065,69.6
1066,69.5
1067,69.7
1068,69.7
1069,69.6
1070,69.6
1071,69.6
1072,69.6
1073,69.6
1074,69.4
1075,69.1
1076,69.3
1077,69.5
1078,69.7
1079,69.7
1080,69.4
1081,69.5
1082,69.5
1083,69.5
1084,69.3
1085,69.2
1086,69.2
1087,69.3
1088,69.4
1089,69.4
1090,69.3
1091,69.3
1092,69.1
1093,69.0
1094,69.0
1095,68.9
1096,69.0
1097,69.0
1098,69.0
1099,68.9
1100,68.9
1101,68.9
1102,68.9
1103,69.1
1104,69.4
1105,69.3
1106,69.3
1107,69.3
1108,69.1
1109,69.0
1110,68.7
1111,68.9
1112,69.0
1113,69.1
1114,69.0
1115,69.2
1116,69.2
1117,69.2
1118,64.4
1119,61.0
1120,61.0
1121,61.0
1122,61.0
1123,60.9
1124,60.8
1125,60.9
1126,61.0
1127,61.0
1128,61.6
1129,61.6
1130,61.6
1131,61.6
1132,61.3
1133,61.2
1134,61.1
1135,61.2
1136,61.1
1137,61.3
1138,61.1
1139,61.2
1140,61.3
1141,61.3
1142,61.2
1143,61.2
1144,61.2
1145,61.2
1146,61.3
1147,61.2
1148,61.1
1149,61.1
1150,60.9
1151,60.9
1152,69.7
1153,69.8
1154,69.9
1155,69.8
1156,69.6
1157,69.6
1158,69.5
1159,69.6
1160,69.8
1161,69.8
1162,69.6
1163,69.5
1164,69.6
1165,69.6
1166,69.6
1167,69.6
1168,69.7
1169,69.7
1170,69.2
1171,69.5
1172,69.5
1173,69.5
1174,69.5
1175,69.5
1176,69.7
1177,69.5
1178,69.5
1179,69.6
1180,69.4
1181,69.2
1182,69.2
1183,69.4
1184,69.5
1185,69.5
1186,69.5
1187,69.5
1188,69.4
1189,69.3
1190,69.3
1191,69.2
1192,69.3
1193,69.2
1194,69.2
1195,69.1
1196,69.1
1197,69.1
1198,69.0
1199,69.0
1200,69.5
1201,69.6
1202,69.5
1203,69.4
1204,69.2
1205,69.1
1206,69.0
1207,69.1
1208,68.7
1209,68.4
1210,68.5
1211,68.6
1212,68.6
1213,68.5
1214,68.5
1215,68.4
1216,68.4
1217,68.4
1218,68.5
1219,68.5
1220,68.5
1221,68.5
1222,68.4
1223,68.4
1224,68.6
1225,68.7
1226,68.7
1227,68.7
1228,68.6
1229,68.5
1230,68.4
1231,68.4
1232,68.4
1233,68.4
1234,68.5
1235,68.6
1236,68.6
1237,68.6
1238,68.5
1239,68.5
1240,68.5
1241,68.5
1242,68.4
1243,68.4
1244,68.4
1245,68.4
1246,68.5
1247,68.6
1248,68.6
1249,68.6
1250,68.6
1251,68.5
1252,68.4
1253,68.2
1254,68.2
1255,68.3
1256,68.3
1257,68.4
1258,68.5
1259,68.5
1260,68.4
1261,68.0
1262,68.5
1263,68.5
1264,68.4
1265,68.5
1266,68.5
1267,68.4
1268,68.3
1269,68.4
1270,68.4
1271,68.5
1272,69.9
1273,69.8
1274,69.8
1275,69.6
1276,68.4
1277,69.2
1278,69.3
1279,69.4
1280,69.5
1281,69.5
1282,69.4
1283,69.4
1284,69.3
1285,69.2
1286,69.1
1287,69.1
1288,69.2
1289,69.1
1290,69.1
1291,69.0
1292,69.1
1293,69.2
1294,69.2
1295,69.3
1296,69.5
1297,69.5
1298,69.5
1299,69.4
1300,69.3
1301,69.1
1302,69.1
1303,69.1
1304,69.3
1305,69.3
1306,69.4
1307,69.4
1308,69.4
1309,69.4
1310,69.4
1311,69.4
1312,69.4
1313,69.4
1314,69.2
1315,69.1
1316,69.1
1317,69.1
1318,69.2
1319,69.2
1320,70.1
1321,70.1
1322,70.0
1323,70.0
1324,69.8
1325,69.7
1326,69.6
1327,69.7
1328,69.1
1329,65.4
1330,64.2
1331,61.8
1332,63.1
1333,66.2
1334,68.5
1335,68.5
1336,68.5
1337,68.6
1338,68.6
1339,68.6
1340,68.3
1341,68.6
1342,68.3
1343,68.8
1344,68.9
1345,68.9
1346,68.9
1347,68.9
1348,68.7
1349,68.2
1350,68.5
1351,68.6
1352,68.6
1353,67.1
1354,64.1
1355,66.4
1356,68.6
1357,68.6
1358,68.7
1359,68.6
1360,68.6
1361,68.7
1362,68.7
1363,68.7
1364,68.7
1365,68.7
1366,68.7
1367,68.7
1368,69.6
1369,69.6
1370,69.7
1371,69.6
1372,69.6
1373,69.6
1374,69.5
1375,69.5
1376,69.6
1377,69.6
1378,69.7
1379,69.7
1380,69.7
1381,69.6
1382,69.7
1383,69.4
1384,69.6
1385,69.6
1386,69.5
1387,69.3
1388,69.3
1389,68.1
1390,67.9
1391,67.9
1392,68.5
1393,68.5
1394,68.5
1395,68.4
1396,68.0
1397,68.3
1398,68.3
1399,68.2
1400,68.2
1401,68.1
1402,68.2
1403,68.2
1404,68.2
1405,68.2
1406,63.8
1407,47.5
1408,47.5
1409,47.5
1410,46.5
1411,36.1
1412,36.1
1413,36.2
1414,36.3
1415,36.3
1416,36.1
1417,36.1
1418,36.2
1419,36.1
1420,35.9
1421,35.9
1422,36.0
1423,36.1
1424,36.2
1425,36.1
1426,36.1
1427,41.4
1428,67.8
1429,67.3
1430,68.1
1431,68.1
1432,68.2
1433,68.2
1434,68.1
1435,68.0
1436,67.9
1437,68.0
1438,68.2
1439,68.1
1440,57.2
1441,57.2
1442,57.2
1443,57.2
1444,56.9
1445,56.9
1446,56.8
1447,57.0
1448,57.0
1449,57.1
1450,57.0
1451,55.6
1452,47.0
1453,57.0
1454,56.7
1455,57.0
1456,57.0
1457,57.0
1458,57.0
1459,57.0
1460,56.9
1461,56.9
1462,57.0
1463,57.1
1464,66.0
1465,66.0
1466,66.0
1467,65.9
1468,65.7
1469,65.5
1470,65.5
1471,65.7
1472,65.9
1473,65.9
1474,65.9
1475,65.9
1476,65.9
1477,65.7
1478,65.6
1479,65.4
1480,65.4
1481,64.7
1482,65.1
1483,65.4
1484,65.4
1485,65.5
1486,65.5
1487,65.5
1488,66.1
1489,66.1
1490,66.1
1491,66.0
1492,65.8
1493,65.7
1494,65.6
1495,65.7
1496,65.8
1497,65.8
1498,59.7
1499,64.5
1500,65.6
1501,65.5
1502,65.5
1503,65.4
1504,65.5
1505,65.4
1506,62.8
1507,60.9
1508,65.2
1509,65.3
1510,65.4
1511,65.5
1512,69.3
1513,69.3
1514,69.3
1515,69.2
1516,68.1
1517,68.9
1518,68.9
1519,69.1
1520,69.1
1521,69.2
1522,69.1
1523,69.1
1524,68.4
1525,68.3
1526,68.3
1527,68.3
1528,68.2
1529,68.2
1530,68.2
1531,68.2
1532,68.2
1533,68.2
1534,68.2
1535,68.3
1536,69.1
1537,69.1
1538,69.1
1539,69.1
1540,69.1
1541,69.0
1542,68.8
1543,68.8
1544,69.0
1545,69.1
1546,69.1
1547,69.1
1548,69.0
1549,69.0
1550,68.1
1551,67.7
1552,68.9
1553,68.9
1554,68.9
1555,68.8
1556,68.4
1557,68.8
1558,68.8
1559,68.9
1560,69.1
1561,69.1
1562,69.1
1563,69.1
1564,68.9
1565,68.6
1566,68.7
1567,68.9
1568,68.9
1569,68.9
1570,68.8
1571,68.9
1572,68.9
1573,68.9
1574,68.9
1575,68.8
1576,68.8
1577,68.7
1578,68.6
1579,68.5
1580,68.5
1581,68.4
1582,68.3
1583,68.2
1584,68.2
1585,68.4
1586,67.5
1587,68.5
1588,68.4
1589,68.2
1590,68.2
1591,68.3
1592,68.5
1593,68.5
1594,68.4
1595,68.3
1596,68.3
1597,68.3
1598,68.4
1599,68.3
1600,68.3
1601,68.3
1602,68.3
1603,68.3
1604,68.3
1605,68.4
1606,67.3
1607,68.6
1608,68.3
1609,68.3
1610,68.2
1611,68.3
1612,68.1
1613,67.8
1614,67.8
1615,67.9
1616,67.9
1617,68.0
1618,67.9
1619,67.5
1620,67.9
1621,65.2
1622,67.9
1623,67.7
1624,67.7
1625,67.7
1626,67.8
1627,67.8
1628,67.8
1629,67.8
1630,68.0
1631,68.0
1632,68.6
1633,68.6
1634,68.6
1635,68.5
1636,68.3
1637,68.2
1638,68.3
1639,68.2
1640,68.0
1641,67.9
1642,68.0
1643,59.4
1644,66.4
1645,67.8
1646,68.1
1647,68.1
1648,68.2
1649,68.2
1650,68.3
1651,68.3
1652,68.2
1653,68.2
1654,68.3
1655,57.7
1656,69.2
1657,69.4
1658,69.4
1659,69.4
1660,69.2
1661,69.0
1662,68.8
1663,68.9
1664,69.2
1665,69.2
1666,69.2
1667,69.1
1668,69.0
1669,69.0
1670,69.0
1671,68.9
1672,68.9
1673,68.8
1674,68.9
1675,68.9
1676,68.9
1677,68.8
1678,68.8
1679,68.9
1680,69.5
1681,69.6
1682,69.6
1683,69.5
1684,69.4
1685,69.3
1686,69.3
1687,69.3
1688,69.4
1689,69.3
1690,69.0
1691,68.9
1692,68.1
1693,68.1
1694,69.0
1695,68.9
1696,69.0
1697,69.0
1698,69.1
1699,69.1
1700,69.0
1701,68.9
1702,69.0
1703,69.0
1704,69.3
1705,69.3
1706,69.3
1707,69.3
1708,69.2
1709,69.1
1710,69.1
1711,68.9
1712,68.8
1713,68.9
1714,69.1
1715,69.1
1716,69.0
1717,69.1
1718,69.2
1719,68.8
1720,69.2
1721,69.1
1722,69.1
1723,69.1
1724,69.0
1725,69.0
1726,69.0
1727,69.0
1728,69.5
1729,69.5
1730,69.6
1731,69.6
1732,69.5
1733,69.3
1734,69.4
1735,69.5
1736,69.6
1737,69.5
1738,69.4
1739,69.5
1740,69.3
1741,69.3
1742,69.3
1743,69.2
1744,69.2
1745,69.3
1746,69.3
1747,69.3
1748,69.4
1749,69.4
1750,69.4
1751,69.5
1752,59.6
1753,69.6
1754,69.7
1755,69.5
1756,69.3
1757,69.2
1758,69.2
1759,69.2
1760,69.4
1761,69.5
1762,69.4
1763,69.5
1764,69.4
1765,69.3
1766,69.3
1767,69.3
1768,69.3
1769,69.4
1770,69.4
1771,69.4
1772,69.3
1773,69.3
1774,69.3
1775,69.2
1776,69.6
1777,69.7
1778,69.8
1779,69.7
1780,69.5
1781,69.3
1782,69.3
1783,69.4
1784,69.4
1785,69.6
1786,69.7
1787,69.8
1788,69.7
1789,69.2
1790,68.7
1791,68.7
1792,68.6
1793,68.7
1794,68.7
1795,68.8
1796,68.7
1797,68.7
1798,68.7
1799,68.6
1800,69.0
1801,68.9
1802,68.9
1803,68.8
1804,68.6
1805,68.4
1806,68.4
1807,68.5
1808,68.6
1809,68.7
1810,68.7
1811,68.4
1812,68.4
1813,68.4
1814,68.2
1815,67.3
1816,66.1
1817,66.0
1818,65.6
1819,65.9
1820,65.9
1821,65.9
1822,66.0
1823,65.9
1824,66.2
1825,66.2
1826,66.2
1827,66.0
1828,65.9
1829,65.7
1830,65.7
1831,65.8
1832,66.0
1833,66.3
1834,66.4
1835,66.4
1836,66.3
1837,66.3
1838,66.3
1839,66.2
1840,66.3
1841,66.3
1842,66.3
1843,66.2
1844,66.1
1845,66.0
1846,66.1
1847,66.0
1848,66.7
1849,66.5
1850,66.6
1851,66.5
1852,66.3
1853,66.2
1854,66.2
1855,65.9
1856,66.2
1857,66.4
1858,66.5
1859,66.3
1860,66.1
1861,66.0
1862,66.2
1863,66.3
1864,66.4
1865,66.4
1866,66.4
1867,66.3
1868,66.2
1869,66.2
1870,66.2
1871,66.2
1872,66.4
1873,66.5
1874,66.5
1875,66.4
1876,66.3
1877,66.2
1878,66.1
1879,66.2
1880,66.3
1881,66.3
1882,66.4
1883,66.4
1884,66.5
1885,66.4
1886,66.4
1887,66.4
1888,66.3
1889,66.3
1890,66.3
1891,66.3
1892,66.3
1893,66.3
1894,66.2
1895,66.3
1896,66.6
1897,66.7
1898,66.7
1899,66.5
1900,66.5
1901,66.5
1902,66.4
1903,66.3
1904,66.5
1905,66.5
1906,66.5
1907,66.3
1908,66.3
1909,66.2
1910,64.8
1911,62.9
1912,62.9
1913,62.9
1914,63.0
1915,62.9
1916,62.8
1917,62.8
1918,63.0
1919,63.1
1920,62.8
1921,51.5
1922,47.3
1923,58.1
1924,62.5
1925,62.4
1926,62.4
1927,62.5
1928,62.3
1929,62.3
1930,62.6
1931,62.6
1932,62.6
1933,62.5
1934,62.8
1935,62.3
1936,59.0
1937,60.9
1938,62.3
1939,62.4
1940,62.3
1941,62.3
1942,62.3
1943,62.5
1944,65.7
1945,64.5
1946,64.8
1947,65.5
1948,65.5
1949,65.3
1950,65.4
1951,65.4
1952,65.5
1953,65.5
1954,65.6
1955,65.5
1956,65.4
1957,65.5
1958,65.5
1959,65.4
1960,65.4
1961,65.4
1962,65.4
1963,65.4
1964,65.3
1965,65.3
1966,65.3
1967,65.3
1968,66.4
1969,66.5
1970,66.5
1971,66.1
1972,66.2
1973,66.1
1974,66.2
1975,66.3
1976,66.2
1977,66.0
1978,65.9
1979,65.9
1980,65.9
1981,65.9
1982,65.9
1983,65.6
1984,65.3
1985,65.6
1986,65.8
1987,65.8
1988,65.7
1989,65.6
1990,65.7
1991,65.7
1992,66.0
1993,66.0
1994,66.0
1995,65.9
1996,65.7
1997,65.6
1998,65.8
1999,65.6
2000,65.4
2001,65.7
2002,65.8
2003,65.2
2004,65.8
2005,65.8
2006,65.8
2007,65.8
2008,65.7
2009,65.7
2010,65.7
2011,65.7
2012,65.6
2013,65.6
2014,65.6
2015,65.6
2016,64.3
2017,62.8
2018,65.5
2019,66.3
2020,66.1
2021,66.2
2022,66.1
2023,66.1
2024,66.2
2025,66.3
2026,66.3
2027,66.3
2028,66.2
2029,66.2
2030,65.9
2031,66.2
2032,66.2
2033,66.2
2034,66.2
2035,66.1
2036,65.8
2037,66.1
2038,66.1
2039,66.1
2040,66.4
2041,66.4
2042,66.5
2043,66.5
2044,65.7
2045,66.4
2046,66.3
2047,66.3
2048,66.3
2049,66.0
2050,66.3
2051,66.3
2052,66.0
2053,62.8
2054,62.7
2055,62.7
2056,62.7
2057,62.7
2058,62.7
2059,62.7
2060,62.6
2061,62.6
2062,62.5
2063,62.6
2064,63.0
2065,63.1
2066,63.1
2067,63.1
2068,63.0
2069,63.0
2070,62.9
2071,62.9
2072,62.9
2073,62.9
2074,62.9
2075,62.9
2076,63.0
2077,63.0
2078,63.0
2079,63.0
2080,63.0
2081,63.0
2082,62.9
2083,62.9
2084,62.6
2085,62.7
2086,62.8
2087,62.8
2088,62.8
2089,62.9
2090,62.9
2091,62.8
2092,62.6
2093,62.6
2094,62.6
2095,62.7
2096,62.8
2097,62.6
2098,62.7
2099,62.6
2100,62.5
2101,62.5
2102,62.4
2103,62.5
2104,62.4
2105,62.6
2106,62.2
2107,62.5
2108,62.4
2109,62.4
2110,62.4
2111,61.9
2112,65.4
2113,65.5
2114,65.5
2115,65.4
2116,65.2
2117,65.1
2118,65.0
2119,65.1
2120,65.2
2121,65.3
2122,65.1
2123,65.0
2124,65.1
2125,65.0
2126,65.0
2127,65.0
2128,65.0
2129,65.1
2130,65.1
2131,65.0
2132,64.9
2133,65.0
2134,65.1
2135,65.4
2136,66.3
2137,66.3
2138,63.4
2139,62.9
2140,62.6
