,target
239,5.216
240,3.858
241,3.825
242,3.298
243,4.505
244,3.786
245,3.549
246,3.026
247,3.3760000000000003
248,2.181
249,1.846
250,1.636
251,2.383
252,2.929
253,5.25
254,5.551
255,8.402999999999999
256,12.743
257,14.431
258,13.242
259,17.949
260,16.055
261,16.46
262,14.06
263,13.466
264,10.118
265,8.237
266,6.6370000000000005
267,6.893
268,3.301
269,1.751
270,0.735
271,0.76
272,1.823
273,3.107
274,3.464
275,3.816
276,5.197
277,6.178
278,5.836
279,8.887
280,11.802
281,14.532
282,12.404000000000002
283,11.717
284,11.675
285,10.761
286,10.643
287,10.664
288,8.994
289,11.146
290,14.749
291,13.398
292,14.036
293,11.112
294,9.208
295,11.375
296,12.576
297,11.872
298,16.915
299,18.355
300,21.204
301,23.941
302,26.662
303,26.517
304,20.998
305,20.325
306,18.244
307,17.195999999999998
308,15.115
309,16.099
310,15.591
311,14.372
312,14.039
313,17.037
314,16.694000000000006
315,12.550999999999998
316,14.36
317,17.275
318,17.664
319,12.064
320,9.482
321,6.622999999999998
322,5.678
323,4.6
324,5.03
325,4.17
326,1.283
327,1.051
328,-0.193
329,-0.197
330,-0.189
331,-0.12
332,-0.133
333,-0.121
334,-0.119
335,-0.146
336,-0.12
337,-0.14
338,-0.103
339,-0.148
340,-0.12
341,-0.174
342,1.86
343,6.607
344,5.988
345,4.26
346,7.665
347,14.572
348,12.602
349,10.475
350,12.005999999999998
351,14.202
352,16.473
353,18.055
354,20.697
355,24.62
356,29.34
357,30.461
358,29.881
359,30.182
360,26.213
361,24.61
362,25.769
363,25.422
364,24.527
365,25.012
366,23.523000000000003
367,22.517
368,17.824
369,18.744
370,17.666
371,15.477
372,14.282
373,14.758
374,12.108
375,10.823
376,10.242
377,10.633
378,9.644
379,8.419
380,10.333
381,9.862
382,9.747
383,11.285
384,10.424
385,8.855
386,10.941
387,13.727
388,13.79
389,13.211
390,14.125
391,12.933
392,12.692
393,13.862
394,15.328
395,15.215
396,13.505
397,15.325
398,14.469
399,12.197
400,11.935
401,12.803
402,12.703
403,12.675999999999998
404,12.492
405,12.332
406,11.219
407,10.218
408,9.012
409,10.042
410,10.925
411,9.481
412,10.889
413,12.533
414,13.261
415,14.239
416,13.722
417,16.555999999999994
418,21.27
419,21.902
420,20.431
421,18.847
422,15.305
423,14.351
424,12.462
425,7.881
426,6.496
427,4.434
428,1.811
429,1.015
430,0.979
431,1.806
432,2.165
433,2.375
434,3.775
435,3.426
436,3.039
437,3.609
438,3.763
439,6.294
440,5.472
441,5.356
442,5.994
443,6.3820000000000014
444,6.084
445,6.2879999999999985
446,5.7120000000000015
447,6.4110000000000005
448,7.174
449,9.248
450,10.922
451,9.899
452,5.397
453,7.496
454,6.142
455,6.0310000000000015
456,4.657
457,2.46
458,1.848
459,3.072
460,2.777
461,2.043
462,1.146
463,0.845
464,1.81
465,2.1
466,2.313
467,1.3530000000000002
468,-0.156
469,-0.171
470,-0.1369999999999999
471,-0.127
472,-0.138
473,0.7659999999999999
474,3.664
475,4.902
476,5.9289999999999985
477,4.794
478,4.896
479,5.337999999999999
480,6.57
481,7.0310000000000015
482,6.996
483,5.739
484,4.968
485,4.659
486,4.479
487,2.665
488,2.127
489,1.231
490,2.307
491,2.482
492,3.406
493,2.854
494,3.2710000000000004
495,4.197
496,4.273
497,3.917
498,4.394
499,4.675
500,4.53
501,3.238
502,3.626
503,2.6630000000000003
504,1.804
505,2.515
506,2.505
507,2.798
508,3.181
509,3.572
510,2.8160000000000003
511,2.724
512,2.369
513,1.955
514,1.192
515,1.015
516,0.202
517,-0.152
518,-0.162
519,-0.142
520,-0.12
521,-0.08
522,-0.1639999999999999
523,-0.162
524,-0.152
525,-0.151
526,-0.154
527,-0.179
528,-0.194
529,0.745
530,2.632
531,0.097
532,-0.079
533,-0.15
534,1.169
535,4.274
536,5.189
537,3.74
538,4.7330000000000005
539,3.938
540,4.727
541,2.162
542,2.907
543,3.039
544,0.736
545,-0.187
546,0.297
547,1.334
548,1.898
549,2.141
550,2.03
551,3.693
552,4.9
553,5.476
554,4.232
555,1.579
556,1.819
557,2.701
558,2.673
559,4.293
560,7.042000000000002
561,7.334
562,8.829
563,12.027
564,10.386
565,10.398
566,8.639
567,12.562
568,12.435
569,11.28
570,7.198
571,7.599
572,9.609
573,10.957
574,9.549
575,9.406
576,5.22
577,5.268
578,5.388
579,9.156
580,11.127
581,15.51
582,19.815
583,22.644
584,22.699
585,21.873
586,23.301
587,22.685
588,24.541
589,20.061
590,14.432
591,24.893
592,34.247
593,31.337
594,39.904
595,44.066
596,33.943000000000005
597,21.228
598,13.273
599,14.145
600,10.633
601,11.864
602,17.1
603,20.655
604,28.759
605,41.173
606,43.826
607,44.619
608,44.146
609,43.201
610,42.115
611,40.904
612,34.433
613,25.488000000000003
614,24.538
615,26.813
616,23.273000000000003
617,15.274
618,14.373
619,15.461
620,14.058
621,16.099
622,9.297
623,5.351
624,4.088
625,2.767
626,2.966
627,4.458
628,5.727
629,5.805
630,5.029
631,4.823
632,4.881
633,6.04
634,7.287000000000001
635,9.118
636,10.091
637,11.508
638,11.689
639,13.902
640,20.175
641,20.931
642,25.68
643,26.593000000000004
644,29.628
645,19.811
646,17.113
647,16.322
648,19.416
649,17.195
650,16.659000000000002
651,23.835
652,24.462
653,27.157
654,31.43
655,36.377
656,38.26300000000001
657,41.706
658,41.93
659,41.506
660,39.592
661,41.493
662,40.427
663,39.439
664,44.24100000000001
665,40.54
666,42.733
667,39.027
668,39.233
669,42.229
670,43.135
671,46.379
672,45.804
673,45.507
674,47.095
675,46.933
676,47.118
677,46.69300000000001
678,46.131
679,47.194
680,46.581
681,46.606
682,45.422
683,43.476000000000006
684,46.039
685,45.995
686,45.878
687,45.203
688,45.396
689,47.037
690,47.783
691,47.441
692,41.989
693,43.649
694,46.972
695,44.856
696,44.774
697,46.247
698,46.057
699,43.315
700,41.949
701,42.445
702,44.692
703,44.838
704,42.477
705,41.58
706,37.488
707,32.697
708,30.94
709,20.618
710,15.855
711,12.533
712,10.946
713,9.865
714,7.841
715,4.646
716,4.577
717,5.0539999999999985
718,5.269
719,4.266
720,4.4289999999999985
721,4.272
722,3.964
723,2.8360000000000003
724,4.069
725,5.522
726,6.103
727,8.731
728,9.314
729,8.94
730,10.774
731,7.707999999999998
732,9.497
733,8.769
734,9.98
735,8.136000000000001
736,7.073
737,6.0120000000000005
738,4.994
739,5.23
740,6.314
741,5.019
742,4.492
743,5.103
744,4.989
745,4.4
746,4.3039999999999985
747,3.902
748,4.933
749,7.23
750,8.337
751,12.727
752,18.298
753,16.381
754,14.706
755,17.139
756,18.718
757,17.480999999999998
758,13.765
759,12.982
760,6.457000000000002
761,4.937
762,4.129
763,4.614
764,4.9430000000000005
765,5.335
766,4.254
767,4.387
768,4.109
769,3.117
770,1.219
771,0.5379999999999999
772,1.3259999999999998
773,3.653
774,4.495
775,4.5310000000000015
776,4.2639999999999985
777,4.338
778,3.744
779,2.917
780,3.718
781,5.153
782,6.343
783,7.312
784,5.1320000000000014
785,5.009
786,4.419
787,3.623
788,3.141
789,2.636
790,2.406
791,2.17
792,1.485
793,0.581
794,-0.035
795,-0.166
796,0.058
797,0.7290000000000001
798,1.4069999999999998
799,0.286
800,-0.173
801,-0.136
802,-0.192
803,-0.1669999999999999
804,-0.192
805,-0.157
806,-0.124
807,-0.13
808,-0.124
809,-0.132
810,-0.126
811,-0.143
812,-0.142
813,-0.161
814,-0.1369999999999999
815,-0.126
816,-0.12
817,-0.118
818,-0.148
819,-0.087
820,0.969
821,0.252
822,-0.019
823,-0.143
824,-0.155
825,-0.127
826,-0.148
827,-0.119
828,-0.103
829,-0.109
830,-0.123
831,-0.117
832,-0.143
833,-0.1369999999999999
834,-0.132
835,-0.117
836,-0.152
837,-0.071
838,-0.138
839,-0.118
840,-0.054
841,-0.069
842,-0.139
843,-0.14
844,0.836
845,0.722
846,0.613
847,0.059
848,-0.157
849,-0.15
850,-0.111
851,-0.131
852,0.257
853,1.45
854,1.881
855,2.03
856,1.536
857,0.7490000000000001
858,0.364
859,0.445
860,1.226
861,2.502
862,2.119
863,1.952
864,2.7430000000000003
865,1.105
866,0.743
867,0.326
868,0.344
869,0.184
870,0.126
871,-0.001
872,0.951
873,1.135
874,1.194
875,0.7340000000000001
876,0.233
877,0.326
878,0.529
879,0.401
880,1.038
881,1.999
882,2.225
883,2.043
884,2.899
885,3.215
886,2.9130000000000003
887,2.186
888,2.925
889,3.158
890,3.4330000000000003
891,3.0460000000000003
892,3.919
893,5.362
894,5.547999999999999
895,4.566
896,5.478
897,6.289
898,5.323
899,4.7639999999999985
900,5.091
901,3.531
902,3.565
903,1.639
904,0.416
905,1.555
906,3.0860000000000003
907,3.915
908,5.907
909,6.89
910,7.242000000000001
911,8.081
912,11.561
913,9.387
914,8.963
915,11.081
916,18.681
917,12.988
918,15.754
919,19.716
920,31.97
921,35.065
922,30.54
923,23.739
924,28.34
925,34.256
926,28.869
927,30.075
928,31.502
929,25.489
930,18.025
931,11.74
932,8.722000000000001
933,8.589
934,8.219
935,7.786
936,8.042
937,7.351
938,8.15
939,12.11
940,20.473
941,27.039
942,34.783
943,39.05
944,38.496
945,40.031
946,36.573
947,42.54
948,45.145
949,38.168
950,41.56100000000001
951,47.036
952,43.792
953,40.432
954,30.211
955,30.637
956,32.655
957,37.14
958,44.937
959,40.714
960,45.556
961,45.788
962,46.078
963,45.222
964,44.845
965,46.147
966,45.172
967,35.781
968,34.695
969,26.217
970,16.928
971,15.68
972,19.239
973,20.055
974,18.038
975,19.44
976,19.408
977,23.579
978,29.615
979,38.88800000000001
980,40.195
981,34.928000000000004
982,29.406
983,19.861
984,13.442
985,7.994
986,5.9060000000000015
987,6.5070000000000014
988,6.316
989,7.852
990,8.161
991,10.47
992,12.482
993,12.684
994,13.022
995,13.845
996,9.4
997,10.338
998,6.547999999999999
999,4.647
1000,3.708
1001,3.483
1002,3.382
1003,2.266
1004,1.293
1005,1.07
1006,1.321
1007,1.16
1008,1.391
1009,2.432
1010,4.386
1011,8.413
1012,8.139
1013,4.135
1014,3.26
1015,4.564
1016,2.9210000000000003
1017,1.52
1018,0.193
1019,-0.145
1020,0.26
1021,0.155
1022,-0.055
1023,-0.142
1024,-0.161
1025,-0.176
1026,-0.153
1027,-0.151
1028,-0.159
1029,-0.112
1030,-0.152
1031,-0.107
1032,-0.1369999999999999
1033,-0.13
1034,-0.166
1035,-0.17
1036,-0.148
1037,-0.182
1038,-0.133
1039,-0.139
1040,-0.133
1041,-0.17
1042,-0.17
1043,-0.16
1044,-0.147
1045,0.414
1046,0.851
1047,1.365
1048,1.851
1049,2.11
1050,0.738
1051,-0.178
1052,-0.14
1053,-0.139
1054,-0.132
1055,-0.148
1056,-0.14
1057,-0.142
1058,-0.13
1059,-0.143
1060,-0.155
1061,-0.211
1062,-0.182
1063,-0.1669999999999999
1064,-0.163
1065,-0.151
1066,-0.138
1067,-0.168
1068,-0.146
1069,-0.1689999999999999
1070,-0.129
1071,-0.145
1072,-0.189
1073,-0.177
1074,-0.161
1075,-0.145
1076,-0.165
1077,-0.145
1078,-0.158
1079,-0.177
1080,-0.147
1081,-0.198
1082,-0.176
1083,-0.206
1084,-0.178
1085,-0.205
1086,-0.192
1087,-0.177
1088,-0.163
1089,-0.193
1090,-0.183
1091,-0.188
1092,-0.171
1093,-0.226
1094,-0.195
1095,-0.225
1096,-0.174
1097,-0.149
1098,-0.156
1099,-0.179
1100,-0.196
1101,-0.126
1102,-0.161
1103,-0.111
1104,-0.14
1105,-0.012
1106,-0.033
1107,0.325
1108,1.04
1109,1.4680000000000002
1110,2.79
1111,3.602
1112,2.6210000000000004
1113,2.656
1114,3.395
1115,4.279
1116,4.005
1117,2.515
1118,2.551
1119,5.829
1120,5.836
1121,4.585
1122,5.891
1123,6.422999999999999
1124,7.109
1125,7.317
1126,8.496
1127,8.866
1128,6.239
1129,4.6
1130,2.863
1131,1.338
1132,1.442
1133,0.958
1134,0.79
1135,0.41
1136,0.7390000000000001
1137,2.175
1138,2.0980000000000003
1139,3.869
1140,6.274
1141,6.564
1142,8.465
1143,11.887
1144,14.128
1145,15.984000000000002
1146,21.003
1147,23.751
1148,24.812
1149,22.625
1150,16.342
1151,14.66
1152,12.732
1153,14.384
1154,14.302
1155,13.143
1156,16.22
1157,18.578
1158,20.29
1159,19.765
1160,20.3
1161,22.483
1162,21.085
1163,18.552
1164,17.803
1165,19.524
1166,22.3
1167,19.263
1168,16.204
1169,12.755
1170,12.327
1171,15.934
1172,22.802
1173,24.024
1174,29.43
1175,33.303000000000004
1176,38.313
1177,36.517
1178,35.431
1179,28.172
1180,21.144
1181,14.451
1182,12.149
1183,12.177
1184,13.156
1185,14.21
1186,15.561
1187,18.747
1188,11.805
1189,6.251
1190,3.352
1191,2.264
1192,1.44
1193,2.865
1194,3.357
1195,2.632
1196,2.4730000000000003
1197,3.225
1198,2.972
1199,3.891
1200,4.298
1201,5.109
1202,3.683
1203,3.887
1204,4.494
1205,4.921
1206,5.2620000000000005
1207,8.195
1208,7.155
1209,7.794
1210,6.957000000000002
1211,7.145
1212,5.2410000000000005
1213,4.188
1214,4.749
1215,3.641
1216,3.697
1217,2.887
1218,4.827
1219,5.551
1220,5.2189999999999985
1221,6.421
1222,8.874
1223,9.38
1224,12.393
1225,12.425999999999998
1226,13.231
1227,12.648
1228,11.052
1229,10.365
1230,8.847000000000003
1231,7.046
1232,6.408
1233,7.3820000000000014
1234,7.25
1235,5.407
1236,4.289
1237,3.477
1238,3.01
1239,3.794
1240,4.37
1241,3.774
1242,3.871
1243,3.512
1244,3.366
1245,2.999
1246,4.887
1247,4.267
1248,3.142
1249,1.777
1250,1.149
1251,0.188
1252,-0.072
1253,0.191
1254,0.298
1255,-0.222
1256,0.009
1257,0.959
1258,2.201
1259,3.903
1260,3.574
1261,5.445
1262,5.9110000000000005
1263,10.288
1264,13.38
1265,13.404000000000002
1266,11.96
1267,10.364
1268,11.595
1269,11.078
1270,10.235
1271,10.452
1272,12.057
1273,11.155
1274,9.948
1275,11.079
1276,8.646
1277,7.174
1278,5.899
1279,3.187
1280,2.248
1281,3.605
1282,5.2810000000000015
1283,5.94
1284,7.3
1285,8.901
1286,7.917000000000002
1287,4.409
1288,2.494
1289,1.87
1290,1.376
1291,0.952
1292,0.089
1293,0.277
1294,-0.003
1295,-0.139
1296,-0.149
1297,-0.126
1298,-0.126
1299,-0.117
1300,-0.12
1301,-0.122
1302,-0.16
1303,-0.165
1304,-0.153
1305,0.449
1306,1.029
1307,0.752
1308,0.017
1309,-0.029
1310,-0.116
1311,-0.116
1312,0.349
1313,0.503
1314,0.833
1315,0.4970000000000001
1316,0.5870000000000001
1317,0.314
1318,0.166
1319,-0.032
1320,-0.086
1321,-0.14
1322,-0.1639999999999999
1323,-0.155
1324,-0.141
1325,-0.179
1326,-0.126
1327,-0.132
1328,-0.161
1329,-0.1369999999999999
1330,-0.149
1331,-0.158
1332,-0.147
1333,0.227
1334,0.7879999999999999
1335,1.19
1336,0.6970000000000001
1337,0.281
1338,0.563
1339,0.519
1340,0.316
1341,0.4320000000000001
1342,0.412
1343,0.21
1344,0.186
1345,0.029
1346,-0.194
1347,-0.227
1348,-0.166
1349,-0.156
1350,-0.1639999999999999
1351,-0.155
1352,-0.17
1353,0.349
1354,0.41
1355,0.523
1356,0.159
1357,-0.122
1358,0.6940000000000001
1359,1.471
1360,0.986
1361,1.341
1362,1.101
1363,0.972
1364,1.396
1365,1.85
1366,2.2230000000000003
1367,2.7510000000000003
1368,2.789
1369,1.6569999999999998
1370,0.34
1371,-0.127
1372,-0.148
1373,-0.188
1374,-0.15
1375,-0.001
1376,-0.012
1377,-0.1669999999999999
1378,-0.158
1379,-0.162
1380,0.069
1381,0.048
1382,-0.073
1383,-0.151
1384,-0.147
1385,-0.145
1386,-0.148
1387,0.024
1388,-0.035
1389,-0.006
1390,0.411
1391,1.766
1392,1.747
1393,1.402
1394,2.13
1395,2.41
1396,3.678
1397,3.439
1398,3.341
1399,5.039
1400,4.351
1401,4.342
1402,5.216
1403,3.417
1404,3.201
1405,3.305
1406,0.7070000000000001
1407,0.134
1408,-0.074
1409,1.729
1410,3.009
1411,2.755
1412,2.6830000000000003
1413,3.5810000000000004
1414,4.046
1415,3.843
1416,2.192
1417,1.415
1418,1.365
1419,1.854
1420,2.076
1421,2.998
1422,4.708
1423,5.356
1424,6.98
1425,9.087
1426,9.145
1427,9.938
1428,10.498
1429,10.317
1430,11.468
1431,10.890999999999998
1432,7.9220000000000015
1433,8.85
1434,10.194
1435,13.618
1436,15.472
1437,17.179000000000002
1438,16.249000000000002
1439,19.806
1440,21.339
1441,22.821
1442,21.982
1443,21.439
1444,14.406
1445,15.184
1446,11.98
1447,11.318
1448,13.587
1449,17.402
1450,20.497
1451,19.336
1452,18.043
1453,16.771
1454,14.407
1455,12.43
1456,11.139
1457,6.5779999999999985
1458,6.688
1459,5.988
1460,5.221
1461,4.43
1462,4.64
1463,2.322
1464,0.918
1465,0.713
1466,0.224
1467,0.5820000000000001
1468,0.759
1469,0.878
1470,1.921
1471,3.069
1472,3.797
1473,4.68
1474,6.653
1475,7.835
1476,8.048
1477,7.568
1478,8.829
1479,7.297999999999999
1480,7.113
1481,5.8
1482,5.209
1483,5.2120000000000015
1484,5.14
1485,6.162000000000001
1486,4.9060000000000015
1487,4.529
1488,3.239
1489,4.381
1490,3.147
1491,2.487
1492,2.402
1493,1.75
1494,1.294
1495,2.077
1496,2.27
1497,2.798
1498,2.8080000000000003
1499,2.827
1500,2.839
1501,3.21
1502,3.617
1503,3.667
1504,3.773
1505,3.672
1506,3.988
1507,4.334
1508,4.227
1509,5.0760000000000005
1510,5.093
1511,6.521
1512,7.539
1513,8.375
1514,8.383
1515,8.439
1516,7.431
1517,6.2120000000000015
1518,5.808
1519,5.559
1520,5.454
1521,5.337999999999999
1522,5.109
1523,4.385
1524,3.819
1525,4.29
1526,5.013
1527,4.8439999999999985
1528,4.862
1529,3.959
1530,3.568
1531,1.947
1532,1.09
1533,0.505
1534,0.462
1535,0.091
1536,-0.03
1537,-0.06
1538,-0.1
1539,-0.171
1540,-0.148
1541,-0.143
1542,-0.179
1543,-0.149
1544,-0.166
1545,-0.175
1546,-0.157
1547,-0.15
1548,-0.182
1549,-0.17
1550,-0.153
1551,-0.151
1552,-0.1639999999999999
1553,-0.184
1554,-0.177
1555,-0.175
1556,-0.173
1557,-0.16
1558,-0.188
1559,-0.186
1560,-0.176
1561,-0.158
1562,-0.178
1563,-0.172
1564,-0.197
1565,-0.203
1566,-0.214
1567,0.035
1568,-0.021
1569,-0.1
1570,-0.134
1571,-0.157
1572,-0.099
1573,-0.106
1574,-0.095
1575,0.321
1576,-0.021
1577,-0.134
1578,-0.151
1579,-0.136
1580,0.037
1581,-0.009
1582,0.077
1583,0.321
1584,0.116
1585,0.275
1586,0.101
1587,1.327
1588,2.748
1589,2.171
1590,2.989
1591,3.132
1592,4.83
1593,5.966
1594,4.737
1595,3.808
1596,2.778
1597,4.93
1598,3.737
1599,3.425
1600,4.018
1601,4.029
1602,3.673
1603,5.31
1604,3.796
1605,3.014
1606,1.016
1607,-0.139
1608,-0.182
1609,-0.159
1610,-0.128
1611,-0.158
1612,-0.147
1613,-0.147
1614,-0.156
1615,-0.003
1616,2.102
1617,3.137
1618,4.0939999999999985
1619,5.722
1620,9.471
1621,16.202
1622,16.096
1623,17.435
1624,19.822
1625,16.022000000000002
1626,16.488
1627,13.827
1628,12.329
1629,8.682
1630,7.704
1631,7.066
1632,8.087
1633,7.382999999999999
1634,8.148
1635,8.972000000000003
1636,10.159
1637,15.512
1638,11.838
1639,15.508
1640,17.4
1641,19.793
1642,22.407
1643,17.899
1644,15.366
1645,16.768
1646,19.084
1647,19.588
1648,12.403
1649,8.457
1650,6.0760000000000005
1651,3.837
1652,4.274
1653,5.171
1654,4.534
1655,3.169
1656,2.269
1657,1.3159999999999998
1658,3.859
1659,1.405
1660,-0.202
1661,0.308
1662,-0.087
1663,-0.178
1664,-0.196
1665,0.39
1666,0.098
1667,-0.222
1668,-0.116
1669,1.248
1670,0.133
1671,0.233
1672,3.047
1673,4.221
1674,2.389
1675,0.216
1676,-0.098
1677,-0.17
1678,-0.158
1679,1.725
1680,2.547
1681,3.649
1682,2.937
1683,2.6860000000000004
1684,2.427
1685,2.092
1686,0.914
1687,4.342
1688,3.573
1689,3.31
1690,3.992
1691,2.143
1692,2.647
1693,0.095
1694,1.3630000000000002
1695,1.591
1696,6.6720000000000015
1697,5.518
1698,9.866
1699,9.93
1700,9.544
1701,9.169
1702,10.399
1703,17.009
1704,16.314
1705,16.551
1706,11.114
1707,9.229
1708,12.289
1709,12.323
1710,11.31
1711,17.058
1712,13.129
1713,11.979
1714,17.165
1715,9.071
1716,11.806
1717,11.368
1718,18.413
1719,17.4
1720,17.119
1721,16.884
1722,16.859
1723,17.129
1724,17.980999999999995
1725,16.929000000000002
1726,17.03
1727,16.93
1728,17.015
1729,17.087
1730,16.936
1731,16.949
1732,16.94
1733,16.96
1734,16.937
1735,16.941
1736,16.958
1737,16.945999999999998
1738,16.977999999999998
1739,16.947
1740,16.951
1741,16.951
1742,16.979
1743,16.964000000000002
1744,16.927
1745,16.927
1746,16.929000000000002
1747,16.929000000000002
1748,16.938
1749,16.956
1750,16.936
1751,16.94
1752,16.947
1753,16.95
1754,16.958
1755,16.935
1756,16.924
1757,16.935
1758,17.206
1759,17.028
1760,26.351
1761,34.071
1762,43.128
1763,34.572
1764,26.32
1765,17.959
1766,15.556
1767,9.138
1768,13.388
1769,12.12
1770,20.737
1771,21.972
1772,23.606
1773,26.858
1774,36.175
1775,35.286
1776,32.279
1777,32.96
1778,36.317
1779,30.521
1780,20.717
1781,16.641
1782,12.939
1783,14.109000000000002
1784,12.394
1785,13.946
1786,29.4
1787,38.809
1788,36.452
1789,36.257
1790,37.12300000000001
1791,35.146
1792,30.068
1793,25.075
1794,20.434
1795,18.821
1796,14.379
1797,12.005
1798,6.997999999999998
1799,12.268
1800,14.018
1801,15.7
1802,15.608
1803,12.852
1804,11.358
1805,15.793
1806,21.215
1807,25.752
1808,30.864
1809,40.996
1810,42.444
1811,44.18899999999999
1812,44.617
1813,43.063
1814,45.411
1815,46.64
1816,47.464
1817,47.352
1818,47.232
1819,47.067
1820,47.252
1821,47.078
1822,47.246
1823,47.679
1824,47.088
1825,46.783
1826,46.994
1827,47.065
1828,47.20399999999999
1829,46.929
1830,45.369
1831,45.426
1832,46.24800000000001
1833,42.725
1834,41.728
1835,43.449
1836,42.94300000000001
1837,42.86600000000001
1838,47.118
1839,46.62600000000001
1840,46.603
1841,47.146
1842,47.004
1843,47.363
1844,47.473
1845,47.28100000000001
1846,47.593
1847,47.404
1848,47.292
1849,47.435
1850,47.657
1851,47.731
1852,47.048
1853,46.73
1854,44.19
1855,39.264
1856,31.148000000000003
1857,26.564
1858,24.953000000000007
1859,19.366
1860,17.872
1861,20.954
1862,19.19
1863,18.308
1864,17.34
1865,12.649
1866,11.618
1867,13.319
1868,12.361
1869,9.471
1870,8.037
1871,7.27
1872,7.976
1873,7.192
1874,8.163
1875,6.8820000000000014
1876,6.224
1877,3.965
1878,4.0939999999999985
1879,3.61
1880,3.576
1881,2.79
1882,1.289
1883,0.7340000000000001
1884,0.253
1885,0.851
1886,0.737
1887,0.132
1888,-0.182
1889,-0.053
1890,-0.141
1891,-0.129
1892,-0.116
1893,0.596
1894,2.432
1895,2.92
1896,3.14
1897,2.827
1898,4.042
1899,3.9
1900,9.428
1901,10.822
1902,8.681000000000001
1903,9.671
1904,6.683
1905,9.487
1906,9.994
1907,8.732999999999999
1908,8.029
1909,10.09
1910,12.105
1911,12.839
1912,12.534
1913,16.427
1914,13.229
1915,10.942
1916,11.888
1917,12.222
1918,12.203
1919,10.814
1920,11.409
1921,9.808
1922,11.13
1923,11.195
1924,13.078
1925,18.249
1926,17.153
1927,15.718
1928,15.609000000000002
1929,15.863
1930,16.322
1931,19.609
1932,24.528
1933,17.504
1934,18.818
1935,17.84
1936,12.477
1937,7.887
1938,6.506
1939,4.249
1940,5.3820000000000014
1941,8.761000000000001
1942,9.532
1943,5.948
1944,4.8660000000000005
1945,5.006
1946,3.4810000000000003
1947,4.702
1948,4.687
1949,4.699
1950,4.399
1951,4.688
1952,3.862
1953,3.554
1954,3.38
1955,3.4730000000000003
1956,1.321
1957,0.6990000000000001
1958,0.117
1959,-0.16
1960,-0.165
1961,-0.111
