,0.000000000000000000e+00.136
560,0.0
561,0.0
562,0.0
563,0.0
564,0.0
565,0.0
566,0.0
567,0.0
568,0.0
569,0.0
570,0.0
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,0.0
584,0.0
585,0.0
586,0.0
587,0.0
588,0.0
589,0.0
590,0.0
591,0.0
592,0.0
593,0.0
594,0.0
595,0.0
596,0.0
597,0.0
598,0.0
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,0.0
608,0.0
609,0.0
610,0.0
611,0.0
612,0.0
613,0.0
614,0.0
615,0.0
616,0.0
617,0.0
618,0.15
619,2.35
620,5.95
621,8.05
622,10.35
623,12.4
624,13.75
625,16.25
626,11.649999999999999
627,8.8
628,5.95
629,5.95
630,13.2
631,6.85
632,16.0
633,15.45
634,17.9
635,19.45
636,19.9
637,11.399999999999999
638,14.399999999999999
639,3.45
640,5.35
641,6.55
642,6.85
643,4.85
644,14.6
645,33.1
646,16.2
647,6.4
648,8.850000000000001
649,16.25
650,18.55
651,8.7
652,11.0
653,18.6
654,21.9
655,14.0
656,17.1
657,19.15
658,22.1
659,24.1
660,25.75
661,25.85
662,24.35
663,23.25
664,21.65
665,19.6
666,17.55
667,15.5
668,13.649999999999999
669,11.6
670,9.3
671,7.1
672,4.3
673,0.25
674,0.0
675,0.0
676,0.0
677,0.0
678,0.0
679,0.0
680,0.0
681,0.0
682,0.0
683,0.0
684,0.0
685,0.0
686,0.0
687,0.0
688,0.0
689,0.0
690,0.0
691,0.0
692,0.0
693,0.0
694,0.0
695,0.0
696,0.0
697,0.0
698,0.0
699,0.0
700,0.0
701,0.0
702,0.0
703,0.0
704,0.0
705,0.0
706,0.0
707,0.0
708,0.0
709,0.0
710,0.0
711,0.0
712,0.0
713,0.0
714,0.0
715,0.0
716,0.0
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,0.0
723,0.0
724,0.0
725,0.0
726,0.0
727,0.0
728,0.0
729,0.0
730,0.0
731,0.0
732,0.0
733,0.0
734,0.0
735,0.0
736,0.0
737,0.0
738,0.0
739,0.0
740,0.0
741,0.0
742,0.0
743,0.0
744,0.0
745,0.0
746,0.0
747,0.0
748,0.0
749,0.0
750,0.0
751,0.0
752,0.0
753,0.0
754,0.0
755,0.0
756,0.0
757,0.0
758,0.0
759,0.0
760,0.0
761,0.0
762,0.05
763,2.4
764,3.8
765,8.149999999999999
766,7.95
767,6.75
768,6.15
769,5.25
770,5.85
771,6.4
772,6.65
773,6.95
774,6.6
775,6.25
776,5.949999999999999
777,5.8
778,5.35
779,4.7
780,3.85
781,0.7
782,1.05
783,1.6
784,1.2
785,0.95
786,1.5
787,1.65
788,3.8
789,2.85
790,3.55
791,4.35
792,1.9
793,2.8
794,2.45
795,5.800000000000001
796,7.35
797,8.05
798,5.25
799,2.05
800,2.75
801,5.25
802,5.2
803,5.4
804,3.0
805,0.3
806,0.25
807,0.35
808,0.35
809,0.25
810,0.15000000000000002
811,0.1
812,0.1
813,0.0
814,0.0
815,0.0
816,0.0
817,0.0
818,0.0
819,0.0
820,0.0
821,0.0
822,0.0
823,0.0
824,0.0
825,0.0
826,0.0
827,0.0
828,0.0
829,0.0
830,0.0
831,0.0
832,0.0
833,0.0
834,0.0
835,0.0
836,0.0
837,0.0
838,0.0
839,0.0
840,0.0
841,0.0
842,0.0
843,0.0
844,0.0
845,0.0
846,0.0
847,0.0
848,0.0
849,0.0
850,0.0
851,0.0
852,0.0
853,0.0
854,0.0
855,0.0
856,0.0
857,0.0
858,0.0
859,0.0
860,0.0
861,0.0
862,0.0
863,0.0
864,0.0
865,0.0
866,0.0
867,0.0
868,0.0
869,0.0
870,0.0
871,0.0
872,0.0
873,0.0
874,0.0
875,0.0
876,0.0
877,0.0
878,0.0
879,0.0
880,0.0
881,0.0
882,0.0
883,0.0
884,0.0
885,0.0
886,0.0
887,0.0
888,0.0
889,0.0
890,0.0
891,0.0
892,0.0
893,0.0
894,0.0
895,0.0
896,0.0
897,0.0
898,0.0
899,0.0
900,0.0
901,0.0
902,0.0
903,0.0
904,0.0
905,0.0
906,0.1
907,2.55
908,6.5
909,9.05
910,11.8
911,14.55
912,16.549999999999997
913,17.0
914,20.4
915,21.1
916,23.8
917,22.0
918,26.35
919,28.25
920,29.3
921,30.4
922,31.5
923,32.599999999999994
924,33.1
925,33.8
926,33.9
927,35.599999999999994
928,36.4
929,36.45
930,36.15
931,35.4
932,35.45
933,35.2
934,34.5
935,33.95
936,34.7
937,35.55
938,34.75
939,34.7
940,33.900000000000006
941,30.5
942,31.099999999999994
943,31.95
944,30.95
945,30.15
946,28.9
947,27.1
948,26.65
949,26.4
950,24.85
951,22.9
952,21.85
953,20.299999999999997
954,18.15
955,15.649999999999999
956,13.5
957,11.35
958,9.2
959,6.95
960,4.45
961,0.4
962,0.0
963,0.0
964,0.0
965,0.0
966,0.0
967,0.0
968,0.0
969,0.0
970,0.0
971,0.0
972,0.0
973,0.0
974,0.0
975,0.0
976,0.0
977,0.0
978,0.0
979,0.0
980,0.0
981,0.0
982,0.0
983,0.0
984,0.0
985,0.0
986,0.0
987,0.0
988,0.0
989,0.0
990,0.0
991,0.0
992,0.0
993,0.0
994,0.0
995,0.0
996,0.0
997,0.0
998,0.0
999,0.0
1000,0.0
1001,0.0
1002,0.0
1003,0.0
1004,0.0
1005,0.0
1006,0.0
1007,0.0
1008,0.0
1009,0.0
1010,0.0
1011,0.0
1012,0.0
1013,0.0
1014,0.0
1015,0.0
1016,0.0
1017,0.0
1018,0.0
1019,0.0
1020,0.0
1021,0.0
1022,0.0
1023,0.0
1024,0.0
1025,0.0
1026,0.0
1027,0.0
1028,0.0
1029,0.0
1030,0.0
1031,0.0
1032,0.0
1033,0.0
1034,0.0
1035,0.0
1036,0.0
1037,0.0
1038,0.0
1039,0.0
1040,0.0
1041,0.0
1042,0.0
1043,0.0
1044,0.0
1045,0.0
1046,0.0
1047,0.0
1048,0.0
1049,0.0
1050,0.2
1051,3.65
1052,6.800000000000001
1053,9.0
1054,11.149999999999999
1055,13.25
1056,15.4
1057,18.3
1058,19.95
1059,21.15
1060,24.5
1061,26.65
1062,28.1
1063,27.0
1064,28.15
1065,29.65
1066,30.4
1067,30.95
1068,32.05
1069,35.75
1070,36.95
1071,36.75
1072,37.400000000000006
1073,38.8
1074,36.8
1075,36.0
1076,37.7
1077,38.599999999999994
1078,37.0
1079,37.25
1080,34.95
1081,31.75
1082,31.25
1083,30.95
1084,31.7
1085,32.75
1086,31.8
1087,28.65
1088,25.3
1089,22.65
1090,20.45
1091,20.549999999999997
1092,20.85
1093,23.45
1094,21.85
1095,20.35
1096,18.9
1097,17.6
1098,15.7
1099,14.05
1100,12.149999999999999
1101,10.45
1102,8.4
1103,6.45
1104,3.95
1105,0.35
1106,0.0
1107,0.0
1108,0.0
1109,0.0
1110,0.0
1111,0.0
1112,0.0
1113,0.0
1114,0.0
1115,0.0
1116,0.0
1117,0.0
1118,0.0
1119,0.0
1120,0.0
1121,0.0
1122,0.0
1123,0.0
1124,0.0
1125,0.0
1126,0.0
1127,0.0
1128,0.0
1129,0.0
1130,0.0
1131,0.0
1132,0.0
1133,0.0
1134,0.0
1135,0.0
1136,0.0
1137,0.0
1138,0.0
1139,0.0
1140,0.0
1141,0.0
1142,0.0
1143,0.0
1144,0.0
1145,0.0
1146,0.0
1147,0.0
1148,0.0
1149,0.0
1150,0.0
1151,0.0
1152,0.0
1153,0.0
1154,0.0
1155,0.0
1156,0.0
1157,0.0
1158,0.0
1159,0.0
1160,0.0
1161,0.0
1162,0.0
1163,0.0
1164,0.0
1165,0.0
1166,0.0
1167,0.0
1168,0.0
1169,0.0
1170,0.0
1171,0.0
1172,0.0
1173,0.0
1174,0.0
1175,0.0
1176,0.0
1177,0.0
1178,0.0
1179,0.0
1180,0.0
1181,0.0
1182,0.0
1183,0.0
1184,0.0
1185,0.0
1186,0.0
1187,0.0
1188,0.0
1189,0.0
1190,0.0
1191,0.0
1192,0.0
1193,0.0
1194,0.0
1195,1.0499999999999998
1196,1.5
1197,0.25
1198,3.9
1199,8.05
1200,11.0
1201,11.25
1202,12.45
1203,13.35
1204,13.3
1205,11.6
1206,8.2
1207,7.35
1208,9.35
1209,10.8
1210,11.85
1211,13.3
1212,14.9
1213,24.1
1214,21.5
1215,27.35
1216,29.45
1217,27.45
1218,25.9
1219,32.5
1220,32.8
1221,31.55
1222,30.5
1223,30.15
1224,29.05
1225,25.4
1226,24.05
1227,21.15
1228,24.4
1229,16.25
1230,17.2
1231,16.85
1232,10.7
1233,6.8
1234,15.5
1235,6.65
1236,8.85
1237,11.399999999999999
1238,13.0
1239,18.2
1240,16.25
1241,14.65
1242,15.2
1243,13.649999999999999
1244,11.1
1245,8.850000000000001
1246,6.9
1247,4.55
1248,1.1
1249,0.0
1250,0.0
1251,0.0
1252,0.0
1253,0.0
1254,0.0
1255,0.0
1256,0.0
1257,0.0
1258,0.0
1259,0.0
1260,0.0
1261,0.0
1262,0.0
1263,0.0
1264,0.0
1265,0.0
1266,0.0
1267,0.0
1268,0.0
1269,0.0
1270,0.0
1271,0.0
1272,0.0
1273,0.0
1274,0.0
1275,0.0
1276,0.0
1277,0.0
1278,0.0
1279,0.0
1280,0.0
1281,0.0
1282,0.0
1283,0.0
1284,0.0
1285,0.0
1286,0.0
1287,0.0
1288,0.0
1289,0.0
1290,0.0
1291,0.0
1292,0.0
1293,0.0
1294,0.0
1295,0.0
1296,0.0
1297,0.0
1298,0.0
1299,0.0
1300,0.0
1301,0.0
1302,0.0
1303,0.0
1304,0.0
1305,0.0
1306,0.0
1307,0.0
1308,0.0
1309,0.0
1310,0.0
1311,0.0
1312,0.0
1313,0.0
1314,0.0
1315,0.0
1316,0.0
1317,0.0
1318,0.0
1319,0.0
1320,0.0
1321,0.0
1322,0.0
1323,0.0
1324,0.0
1325,0.0
1326,0.0
1327,0.0
1328,0.0
1329,0.0
1330,0.0
1331,0.0
1332,0.0
1333,0.0
1334,0.0
1335,0.0
1336,0.0
1337,0.0
1338,0.0
1339,0.0
1340,3.95
1341,3.0
1342,7.9
1343,5.3
1344,9.7
1345,8.65
1346,15.25
1347,17.799999999999997
1348,19.25
1349,22.549999999999997
1350,21.9
1351,22.35
1352,21.25
1353,28.25
1354,30.15
1355,30.3
1356,29.65
1357,28.7
1358,29.45
1359,26.4
1360,23.5
1361,29.299999999999997
1362,31.4
1363,29.55
1364,30.95
1365,32.7
1366,33.7
1367,34.0
1368,32.849999999999994
1369,29.55
1370,29.45
1371,29.2
1372,26.4
1373,23.9
1374,24.6
1375,28.4
1376,28.25
1377,28.0
1378,27.1
1379,26.4
1380,24.25
1381,22.05
1382,21.75
1383,19.15
1384,18.1
1385,17.700000000000003
1386,14.2
1387,8.6
1388,5.25
1389,2.8
1390,4.65
1391,4.3
1392,2.15
1393,0.0
1394,0.0
1395,0.0
1396,0.0
1397,0.0
1398,0.0
1399,0.0
1400,0.0
1401,0.0
1402,0.0
1403,0.0
1404,0.0
1405,0.0
1406,0.0
1407,0.0
1408,0.0
1409,0.0
1410,0.0
1411,0.0
1412,0.0
1413,0.0
1414,0.0
1415,0.0
1416,0.0
1417,0.0
1418,0.0
1419,0.0
1420,0.0
1421,0.0
1422,0.0
1423,0.0
1424,0.0
1425,0.0
1426,0.0
1427,0.0
1428,0.0
1429,0.0
1430,0.0
1431,0.0
1432,0.0
1433,0.0
1434,0.0
1435,0.0
1436,0.0
1437,0.0
1438,0.0
1439,0.0
1440,0.0
1441,0.0
1442,0.0
1443,0.0
1444,0.0
1445,0.0
1446,0.0
1447,0.0
1448,0.0
1449,0.0
1450,0.0
1451,0.0
1452,0.0
1453,0.0
1454,0.0
1455,0.0
1456,0.0
1457,0.0
1458,0.0
1459,0.0
1460,0.0
1461,0.0
1462,0.0
1463,0.0
1464,0.0
1465,0.0
1466,0.0
1467,0.0
1468,0.0
1469,0.0
1470,0.0
1471,0.0
1472,0.0
1473,0.0
1474,0.0
1475,0.0
1476,0.0
1477,0.0
1478,0.0
1479,0.0
1480,0.0
1481,0.0
1482,0.0
1483,0.0
1484,0.05
1485,3.65
1486,7.4
1487,12.3
1488,9.05
1489,7.6
1490,9.85
1491,11.25
1492,11.7
1493,12.55
1494,10.15
1495,1.2
1496,1.2
1497,1.0
1498,3.5
1499,2.9000000000000004
1500,3.85
1501,8.9
1502,23.8
1503,18.75
1504,16.4
1505,13.5
1506,23.25
1507,23.6
1508,27.65
1509,27.15
1510,26.1
1511,20.8
1512,26.299999999999997
1513,33.45
1514,32.7
1515,19.9
1516,16.75
1517,16.15
1518,22.4
1519,30.799999999999997
1520,31.25
1521,30.85
1522,30.7
1523,29.1
1524,27.65
1525,25.25
1526,23.75
1527,22.15
1528,20.5
1529,19.15
1530,17.75
1531,15.9
1532,13.5
1533,11.4
1534,9.35
1535,7.5
1536,5.5
1537,0.85
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.05
1627,1.5
1628,5.5
1629,7.6
1630,9.45
1631,11.25
1632,13.05
1633,15.5
1634,17.35
1635,19.2
1636,21.45
1637,23.549999999999997
1638,25.15
1639,26.65
1640,27.6
1641,28.6
1642,29.75
1643,30.4
1644,31.05
1645,31.4
1646,30.9
1647,31.0
1648,31.65
1649,31.799999999999997
1650,32.45
1651,33.8
1652,34.85
1653,35.8
1654,36.75
1655,36.95
1656,35.35
1657,32.65
1658,32.2
1659,31.55
1660,30.25
1661,29.799999999999997
1662,29.4
1663,29.1
1664,28.95
1665,28.65
1666,27.75
1667,26.95
1668,25.9
1669,24.75
1670,23.799999999999997
1671,22.6
1672,20.7
1673,19.15
1674,17.4
1675,15.1
1676,13.25
1677,12.2
1678,9.399999999999999
1679,7.0
1680,4.699999999999999
1681,0.75
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.4
1772,2.3
1773,5.300000000000001
1774,7.1
1775,9.25
1776,10.3
1777,10.0
1778,9.9
1779,10.1
1780,9.5
1781,8.35
1782,6.45
1783,5.300000000000001
1784,5.0
1785,5.0
1786,4.8
1787,3.95
1788,2.5
1789,2.7
1790,2.9000000000000004
1791,3.6
1792,1.8
1793,1.4
1794,1.9
1795,2.55
1796,2.3
1797,1.45
1798,1.75
1799,0.95
1800,1.15
1801,8.0
1802,7.65
1803,7.3
1804,3.45
1805,5.75
1806,6.1
1807,12.9
1808,15.05
1809,23.05
1810,18.049999999999997
1811,4.95
1812,13.55
1813,15.55
1814,16.45
1815,17.75
1816,17.450000000000003
1817,16.6
1818,14.3
1819,11.95
1820,11.0
1821,9.7
1822,7.050000000000001
1823,0.95
1824,2.1
1825,0.35
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.1
1916,0.45
1917,0.75
1918,1.2
1919,6.15
1920,8.6
1921,14.35
1922,16.25
1923,22.549999999999997
1924,20.5
1925,23.5
1926,19.35
1927,14.2
1928,11.35
1929,11.35
1930,24.3
1931,23.85
1932,19.049999999999997
1933,8.95
1934,6.65
1935,12.25
1936,14.3
1937,21.2
1938,23.3
1939,18.4
1940,26.0
1941,30.7
1942,33.7
1943,19.25
1944,29.55
1945,30.35
1946,27.85
1947,25.8
1948,29.45
1949,26.75
1950,31.1
1951,33.650000000000006
1952,33.0
1953,32.65
1954,32.0
1955,31.1
1956,29.7
1957,27.6
1958,26.049999999999997
1959,24.55
1960,23.05
1961,21.549999999999997
1962,19.65
1963,17.75
1964,15.2
1965,13.0
1966,10.85
1967,8.649999999999999
1968,6.6
1969,2.05
1970,0.0
1971,0.0
1972,0.0
1973,0.0
1974,0.0
1975,0.0
1976,0.0
1977,0.0
1978,0.0
1979,0.0
1980,0.0
1981,0.0
1982,0.0
1983,0.0
1984,0.0
1985,0.0
1986,0.0
1987,0.0
1988,0.0
1989,0.0
1990,0.0
1991,0.0
1992,0.0
1993,0.0
1994,0.0
1995,0.0
1996,0.0
1997,0.0
1998,0.0
1999,0.0
2000,0.0
2001,0.0
2002,0.0
2003,0.0
2004,0.0
2005,0.0
2006,0.0
2007,0.0
2008,0.0
2009,0.0
2010,0.0
2011,0.0
2012,0.0
2013,0.0
2014,0.0
2015,0.0
2016,0.0
2017,0.0
2018,0.0
2019,0.0
2020,0.0
2021,0.0
2022,0.0
2023,0.0
2024,0.0
2025,0.0
2026,0.0
2027,0.0
2028,0.0
2029,0.0
2030,0.0
2031,0.0
2032,0.0
2033,0.0
2034,0.0
2035,0.0
2036,0.0
2037,0.0
2038,0.0
2039,0.0
2040,0.0
2041,0.0
2042,0.0
2043,0.0
2044,0.0
2045,0.0
2046,0.0
2047,0.0
2048,0.0
2049,0.0
2050,0.0
2051,0.0
2052,0.0
2053,0.0
2054,0.0
2055,0.0
2056,0.0
2057,0.0
2058,0.3
2059,3.25
2060,6.55
2061,8.85
2062,11.25
2063,13.6
2064,16.0
2065,18.4
2066,20.4
2067,21.85
2068,23.25
2069,25.0
2070,26.55
2071,27.0
2072,28.15
2073,29.049999999999997
2074,29.85
2075,31.1
2076,31.6
2077,30.85
2078,29.8
2079,30.2
2080,30.45
2081,30.45
2082,31.65
2083,34.4
2084,33.95
2085,33.3
2086,34.25
2087,33.25
2088,28.4
2089,28.1
2090,32.35
2091,32.8
2092,31.25
2093,30.35
2094,21.8
2095,13.2
2096,15.3
2097,17.1
