,load
5720,22834.0
5728,21801.0
5736,21082.0
5744,20844.0
5752,21175.0
5760,22447.0
5768,24199.0
5776,25392.0
5784,26148.0
5792,26786.0
5800,27564.0
5808,27620.0
5816,27953.0
5824,28688.0
5832,28837.0
5840,29187.0
5848,29147.0
5856,28805.0
5864,29244.0
5872,29998.0
5880,28568.0
5888,26387.0
5896,24230.0
5904,22839.0
5912,21995.0
5920,21469.0
5928,21421.0
5936,21748.0
5944,22695.0
5952,24067.0
5960,25553.0
5968,26228.0
5976,26834.0
5984,27168.0
5992,27496.0
6000,27589.0
6008,27725.0
6016,27618.0
6024,27431.0
6032,26974.0
6040,26660.0
6048,26544.0
6056,27047.0
6064,28032.0
6072,27128.0
6080,25384.0
6088,23503.0
6096,22453.0
6104,21750.0
6112,21115.0
6120,20758.0
6128,20813.0
6136,21157.0
6144,21360.0
6152,22086.0
6160,22956.0
6168,23318.0
6176,23617.0
6184,23600.0
6192,23337.0
6200,23203.0
6208,23198.0
6216,23385.0
6224,23734.0
6232,24149.0
6240,24727.0
6248,25400.0
6256,26334.0
6264,25553.0
6272,24238.0
6280,22617.0
6288,21480.0
6296,20962.0
6304,20293.0
6312,19960.0
6320,19834.0
6328,20084.0
6336,20163.0
6344,20470.0
6352,21167.0
6360,21656.0
6368,21913.0
6376,21994.0
6384,22186.0
6392,22294.0
6400,22339.0
6408,22750.0
6416,23136.0
6424,23826.0
6432,24299.0
6440,25188.0
6448,26044.0
6456,25158.0
6464,23408.0
6472,21762.0
6480,20579.0
6488,20178.0
6496,20018.0
6504,19918.0
6512,20349.0
6520,21268.0
6528,23131.0
6536,24526.0
6544,24968.0
6552,25193.0
6560,25192.0
6568,25068.0
6576,24846.0
6584,24779.0
6592,24697.0
6600,24368.0
6608,24489.0
6616,24795.0
6624,25248.0
6632,26336.0
6640,27473.0
6648,26308.0
6656,24237.0
6664,22514.0
6672,21535.0
6680,21006.0
6688,20877.0
6696,20789.0
6704,21047.0
6712,22260.0
6720,23690.0
6728,24924.0
6736,25030.0
6744,25320.0
6752,25620.0
6760,25629.0
6768,25503.0
6776,25793.0
6784,25714.0
6792,25681.0
6800,25729.0
6808,25395.0
6816,25740.0
6824,26692.0
6832,27951.0
6840,26896.0
6848,24711.0
6856,22604.0
6864,21515.0
6872,20905.0
6880,20603.0
6888,20477.0
6896,20986.0
6904,22294.0
6912,23925.0
6920,25365.0
6928,25740.0
6936,25831.0
6944,26144.0
6952,26095.0
6960,25794.0
6968,25658.0
6976,25578.0
6984,25545.0
6992,25808.0
7000,25868.0
7008,25985.0
7016,26957.0
7024,28260.0
7032,27075.0
7040,25056.0
7048,23226.0
7056,21981.0
7064,21402.0
7072,20928.0
7080,20855.0
7088,21279.0
7096,22464.0
7104,24298.0
7112,25829.0
7120,26145.0
7128,26333.0
7136,26369.0
7144,26167.0
7152,25780.0
7160,25819.0
7168,25655.0
7176,25677.0
7184,25556.0
7192,25470.0
7200,25740.0
7208,26775.0
7216,28092.0
7224,27101.0
7232,25261.0
7240,23345.0
7248,22057.0
7256,21387.0
7264,20960.0
7272,20854.0
7280,20949.0
7288,21982.0
7296,23742.0
7304,24975.0
7312,25596.0
7320,25865.0
7328,25830.0
7336,25757.0
7344,25469.0
7352,25596.0
7360,25581.0
7368,25607.0
7376,25745.0
7384,25625.0
7392,25532.0
7400,26328.0
7408,27539.0
7416,26719.0
7424,25153.0
7432,23451.0
7440,22131.0
7448,21301.0
7456,20679.0
7464,20233.0
7472,20258.0
7480,21030.0
7488,21438.0
7496,22032.0
7504,22749.0
7512,22906.0
7520,23104.0
7528,23024.0
7536,23232.0
7544,23051.0
7552,23052.0
7560,23453.0
7568,23370.0
7576,23511.0
7584,24076.0
7592,24982.0
7600,26068.0
7608,25485.0
7616,24080.0
7624,22765.0
7632,21587.0
7640,20642.0
7648,20085.0
7656,19961.0
7664,19886.0
7672,20141.0
7680,20099.0
7688,20352.0
7696,21213.0
7704,21770.0
7712,22036.0
7720,22218.0
7728,22327.0
7736,22665.0
7744,22747.0
7752,23248.0
7760,24060.0
7768,24636.0
7776,25144.0
7784,25920.0
7792,27005.0
7800,26014.0
7808,24222.0
7816,22458.0
7824,21327.0
7832,20785.0
7840,20409.0
7848,20242.0
7856,20761.0
7864,22060.0
7872,23741.0
7880,25316.0
7888,25617.0
7896,26006.0
7904,26636.0
7912,26672.0
7920,26919.0
7928,27420.0
7936,27787.0
7944,28179.0
7952,28668.0
7960,28798.0
7968,28624.0
7976,28900.0
7984,29894.0
7992,28536.0
8000,26106.0
8008,23980.0
8016,22665.0
8024,21810.0
8032,21201.0
8040,21001.0
8048,21319.0
8056,22586.0
8064,24115.0
8072,25439.0
8080,26091.0
8088,26754.0
8096,27297.0
8104,27803.0
8112,27928.0
8120,28427.0
8128,28870.0
8136,29261.0
8144,29405.0
8152,29374.0
8160,29015.0
8168,29354.0
8176,30241.0
8184,28896.0
8192,26474.0
8200,24373.0
8208,22862.0
8216,21962.0
8224,21350.0
8232,21071.0
8240,21413.0
8248,22610.0
8256,24362.0
8264,25924.0
8272,26596.0
8280,27019.0
8288,27268.0
8296,27230.0
8304,26961.0
8312,27230.0
8320,27620.0
8328,27698.0
8336,28239.0
8344,29256.0
8352,28124.0
8360,26019.0
8368,23992.0
8376,22486.0
8384,21576.0
8392,21012.0
8400,20774.0
8408,21158.0
8416,22337.0
8424,24085.0
8432,25592.0
8440,26303.0
8448,26746.0
8456,27046.0
8464,27332.0
8472,27216.0
8480,27224.0
8488,27143.0
8496,26889.0
8504,26647.0
8512,26281.0
8520,26383.0
8528,27083.0
8536,28076.0
8544,27131.0
8552,25051.0
8560,23324.0
8568,22060.0
8576,21291.0
8584,20879.0
8592,20314.0
8600,20770.0
8608,21904.0
8616,23773.0
8624,25312.0
8632,26234.0
8640,26946.0
8648,27110.0
8656,26927.0
8664,26435.0
8672,26350.0
8680,25954.0
8688,25789.0
8696,25453.0
8704,25408.0
8712,25161.0
8720,25828.0
8728,26835.0
8736,26011.0
8744,24438.0
8752,22885.0
8760,21899.0
8768,21276.0
8776,20648.0
8784,20326.0
8792,20382.0
8800,20854.0
8808,21195.0
8816,21800.0
8824,22680.0
8832,23204.0
8840,23678.0
8848,23858.0
8856,23657.0
8864,23324.0
8872,22875.0
8880,22845.0
8888,22798.0
8896,23142.0
8904,23386.0
8912,24080.0
8920,25356.0
8928,24726.0
8936,23350.0
8944,22082.0
8952,21471.0
8960,20927.0
8968,20216.0
8976,19882.0
8984,19839.0
8992,19762.0
9000,19723.0
9008,20108.0
9016,21070.0
9024,21772.0
9032,22206.0
9040,22157.0
9048,21834.0
9056,21802.0
9064,21954.0
9072,21944.0
9080,22254.0
9088,22648.0
9096,23440.0
9104,24314.0
9112,25716.0
9120,25209.0
9128,23781.0
9136,22091.0
9144,21269.0
9152,20799.0
9160,20318.0
9168,20205.0
9176,20740.0
9184,21915.0
9192,23327.0
9200,24887.0
9208,25935.0
9216,26690.0
9224,26749.0
9232,26580.0
9240,26278.0
9248,26190.0
9256,26198.0
9264,26296.0
9272,26507.0
9280,26935.0
9288,27043.0
9296,27723.0
9304,29014.0
9312,28023.0
9320,25782.0
9328,23638.0
9336,22270.0
9344,21188.0
9352,20509.0
9360,20333.0
9368,20636.0
9376,21771.0
9384,23561.0
9392,25078.0
9400,25804.0
9408,26293.0
9416,26372.0
9424,26178.0
9432,25972.0
9440,26235.0
9448,26580.0
9456,26963.0
9464,27278.0
9472,27483.0
9480,27590.0
9488,27999.0
9496,29094.0
9504,28149.0
9512,26017.0
9520,24032.0
9528,22781.0
9536,21710.0
9544,20926.0
9552,20750.0
9560,20984.0
9568,21976.0
9576,23618.0
9584,25411.0
9592,26195.0
9600,26512.0
9608,26587.0
9616,26512.0
9624,26621.0
9632,27260.0
9640,27886.0
9648,28434.0
9656,28817.0
9664,29235.0
9672,29504.0
9680,29847.0
9688,30721.0
9696,29797.0
9704,27439.0
9712,25039.0
9720,23359.0
9728,22303.0
9736,21607.0
9744,21302.0
9752,21581.0
9760,22593.0
9768,24070.0
9776,25529.0
9784,26351.0
9792,26798.0
9800,27304.0
9808,27855.0
9816,28076.0
9824,28792.0
9832,29477.0
9840,30079.0
9848,30457.0
9856,30793.0
9864,30695.0
9872,30742.0
9880,31354.0
9888,30011.0
9896,27521.0
9904,25093.0
9912,23631.0
9920,22572.0
9928,21849.0
9936,21503.0
9944,21791.0
9952,22903.0
9960,24217.0
9968,25469.0
9976,26068.0
9984,26610.0
9992,27071.0
10000,27222.0
10008,27228.0
10016,27854.0
10024,28450.0
10032,29035.0
10040,29555.0
10048,29624.0
10056,29557.0
10064,29426.0
10072,30065.0
10080,29216.0
10088,27150.0
10096,24967.0
10104,23350.0
10112,22222.0
10120,21346.0
10128,20949.0
10136,20876.0
10144,21213.0
10152,21497.0
10160,22225.0
10168,23204.0
10176,23835.0
10184,24083.0
10192,23909.0
10200,23783.0
10208,23733.0
10216,23864.0
10224,24178.0
10232,24761.0
10240,25336.0
10248,25860.0
10256,26375.0
10264,27459.0
10272,26947.0
10280,25352.0
10288,23657.0
10296,22411.0
10304,21524.0
10312,20878.0
10320,20369.0
10328,20248.0
10336,20288.0
10344,20213.0
10352,20988.0
10360,21743.0
10368,22159.0
10376,22521.0
10384,22552.0
10392,22674.0
10400,22782.0
10408,22993.0
10416,23472.0
10424,24022.0
10432,24462.0
10440,24807.0
10448,25758.0
10456,27001.0
10464,26368.0
10472,24440.0
10480,22716.0
10488,21636.0
10496,20816.0
10504,20311.0
10512,20192.0
10520,20601.0
10528,21854.0
10536,23514.0
10544,25184.0
10552,26077.0
10560,26887.0
10568,27443.0
10576,27641.0
10584,27635.0
10592,27899.0
10600,28243.0
10608,28546.0
10616,28600.0
10624,28292.0
10632,28110.0
10640,28481.0
10648,29258.0
10656,28276.0
10664,25831.0
10672,23859.0
10680,23080.0
10688,22339.0
10696,21844.0
10704,21554.0
10712,21869.0
10720,22817.0
10728,24282.0
10736,26098.0
10744,27144.0
10752,27771.0
10760,28238.0
10768,28457.0
10776,28308.0
10784,28873.0
10792,29661.0
10800,30065.0
10808,30283.0
10816,30679.0
10824,30622.0
10832,30806.0
10840,31327.0
10848,30157.0
10856,27559.0
10864,25235.0
10872,23952.0
10880,22651.0
10888,22069.0
10896,21961.0
10904,22152.0
10912,22898.0
10920,23857.0
10928,25518.0
10936,26851.0
10944,27202.0
10952,27878.0
10960,28706.0
10968,29268.0
10976,30205.0
10984,30748.0
10992,31237.0
11000,31899.0
11008,32203.0
11016,31680.0
11024,31870.0
11032,32217.0
11040,30981.0
11048,28260.0
11056,25702.0
11064,24188.0
11072,23050.0
11080,22274.0
11088,21898.0
11096,22169.0
11104,23266.0
11112,24893.0
11120,26509.0
11128,27719.0
11136,28228.0
11144,28439.0
11152,28524.0
11160,28602.0
11168,28977.0
11176,29357.0
11184,29564.0
11192,29824.0
11200,29596.0
11208,29330.0
11216,29425.0
11224,30279.0
11232,29191.0
11240,26882.0
11248,24518.0
11256,23168.0
11264,22425.0
11272,21828.0
11280,21515.0
11288,21836.0
11296,22866.0
11304,24138.0
11312,25553.0
11320,26383.0
11328,26672.0
11336,27092.0
11344,27069.0
11352,26743.0
11360,26680.0
11368,26649.0
11376,26595.0
11384,25792.0
11392,22545.0
11400,26201.0
11408,26268.0
11416,27546.0
11424,27108.0
11432,25666.0
11440,24048.0
11448,22880.0
11456,21943.0
11464,21286.0
11472,20975.0
11480,21315.0
11488,21459.0
11496,21610.0
11504,22423.0
11512,23090.0
11520,23589.0
11528,23890.0
11536,23851.0
11544,23692.0
11552,23480.0
11560,23302.0
11568,23456.0
11576,23698.0
11584,23958.0
11592,23895.0
11600,24606.0
11608,26051.0
11616,25771.0
11624,24440.0
11632,22836.0
11640,21838.0
11648,21312.0
11656,20869.0
11664,20561.0
11672,20506.0
11680,20692.0
11688,20469.0
11696,20744.0
11704,21292.0
11712,21574.0
11720,21815.0
11728,21830.0
11736,21825.0
11744,21917.0
11752,22079.0
11760,22456.0
11768,23072.0
11776,24049.0
11784,24494.0
11792,24980.0
11800,26503.0
11808,26163.0
11816,24336.0
11824,22458.0
11832,21062.0
11840,20393.0
11848,20148.0
11856,20044.0
11864,20493.0
11872,21736.0
11880,23039.0
11888,24689.0
11896,25673.0
11904,26266.0
11912,26431.0
11920,26467.0
11928,26328.0
11936,26468.0
11944,26600.0
11952,26718.0
11960,26674.0
11968,26689.0
11976,26654.0
11984,27150.0
11992,28335.0
12000,27729.0
12008,25640.0
12016,23660.0
12024,22277.0
12032,21440.0
12040,20907.0
12048,20759.0
12056,21101.0
12064,22236.0
12072,23746.0
12080,25323.0
12088,25871.0
12096,26159.0
12104,26466.0
12112,26526.0
12120,26263.0
12128,26287.0
12136,26424.0
12144,26584.0
12152,26695.0
12160,26754.0
12168,26892.0
12176,27325.0
12184,28471.0
12192,27865.0
12200,25737.0
12208,23667.0
12216,22375.0
12224,21467.0
12232,20890.0
12240,20645.0
12248,21026.0
12256,22217.0
12264,23698.0
12272,25208.0
12280,25768.0
12288,26103.0
12296,26291.0
12304,26153.0
12312,25996.0
12320,26066.0
12328,26051.0
12336,26251.0
12344,26439.0
12352,26683.0
12360,27019.0
12368,27501.0
12376,28651.0
12384,28193.0
12392,26154.0
12400,23952.0
12408,22591.0
12416,21658.0
12424,21241.0
12432,20916.0
12440,21551.0
12448,22255.0
12456,23608.0
12464,25208.0
12472,26334.0
12480,26771.0
12488,26706.0
12496,27041.0
12504,26725.0
12512,26616.0
12520,26856.0
12528,27310.0
12536,27820.0
12544,27840.0
12552,28048.0
12560,28310.0
12568,29232.0
12576,28731.0
12584,26602.0
12592,24433.0
12600,22983.0
12608,22184.0
12616,21651.0
12624,21355.0
12632,21679.0
12640,22040.0
12648,23094.0
12656,24457.0
12664,25576.0
12672,25865.0
12680,26178.0
12688,26334.0
12696,26412.0
12704,26894.0
12712,27430.0
12720,27972.0
12728,28632.0
12736,28871.0
12744,28867.0
12752,28881.0
12760,29460.0
12768,28858.0
12776,27000.0
12784,25021.0
12792,23569.0
12800,22466.0
12808,21745.0
12816,21266.0
12824,21161.0
12832,21358.0
12840,21433.0
12848,22196.0
12856,23502.0
12864,24156.0
12872,24363.0
12880,24523.0
12888,24882.0
12896,25321.0
12904,25640.0
12912,26383.0
12920,26966.0
12928,27473.0
12936,27776.0
12944,27908.0
12952,28440.0
12960,27965.0
12968,26209.0
12976,24348.0
12984,22832.0
12992,21723.0
13000,20946.0
13008,20510.0
13016,20337.0
13024,20395.0
13032,20391.0
13040,21087.0
13048,21882.0
13056,22604.0
13064,23159.0
13072,23498.0
13080,23472.0
13088,23751.0
13096,24149.0
13104,24871.0
13112,25685.0
13120,25999.0
13128,26554.0
13136,26846.0
13144,27556.0
13152,27135.0
13160,25514.0
13168,23691.0
13176,22243.0
13184,21132.0
13192,20438.0
13200,20067.0
13208,20040.0
13216,20151.0
13224,20210.0
13232,21162.0
13240,22508.0
13248,23512.0
13256,24424.0
13264,25262.0
13272,25277.0
13280,25431.0
13288,26238.0
13296,27354.0
13304,28170.0
13312,29055.0
13320,29576.0
13328,29621.0
13336,30026.0
13344,29271.0
13352,26870.0
13360,24501.0
13368,22937.0
13376,21911.0
13384,21251.0
13392,21000.0
13400,21343.0
13408,22349.0
13416,23972.0
13424,25967.0
13432,27378.0
13440,28073.0
13448,28751.0
13456,29407.0
13464,29954.0
13472,30949.0
13480,32039.0
13488,33026.0
13496,33684.0
13504,34186.0
13512,34258.0
13520,34042.0
13528,33997.0
13536,32631.0
13544,29609.0
13552,26679.0
13560,24741.0
13568,23442.0
13576,22594.0
13584,22198.0
13592,22396.0
13600,23472.0
13608,24900.0
13616,26711.0
13624,27797.0
13632,28573.0
13640,29332.0
13648,29953.0
13656,30574.0
13664,31520.0
13672,32525.0
13680,33487.0
13688,34227.0
13696,34556.0
13704,33939.0
13712,32580.0
13720,29646.0
13728,26813.0
13736,24950.0
13744,23793.0
13752,22988.0
13760,22562.0
13768,22736.0
13776,23376.0
13784,24773.0
13792,26491.0
13800,27807.0
13808,28799.0
13816,29948.0
13824,31102.0
13832,32078.0
13840,33605.0
13848,34977.0
13856,36146.0
13864,36925.0
13872,36995.0
13880,36864.0
13888,36146.0
13896,35456.0
13904,33958.0
13912,30835.0
13920,27926.0
13928,25931.0
13936,24506.0
13944,23490.0
13952,23007.0
13960,23378.0
13968,23742.0
13976,25101.0
13984,27110.0
13992,28275.0
14000,29590.0
14008,31157.0
14016,32828.0
14024,37721.0
14032,39033.0
14040,40091.0
14048,40048.0
14056,39295.0
14064,38048.0
14072,36951.0
14080,35191.0
14088,32319.0
14096,29380.0
14104,26921.0
